state,population_2006,population_2023,area_km2,density_2006,density_2023
Abia,2845380,4841943,5243,542.7,923.59
Adamawa,3178950,5236948,36917,86.11,141.84
Akwa Ibom,3902051,5780581,7081,551.05,816.11
Anambra,5177828,7299910,4844,1068.91,1507.26
Bauchi,4653066,7540663,45893,101.39,164.31
Bayelsa,1704515,2394725,21110,80.74,113.58
Benue,4253641,6687706,34059,124.89,196.34
Borno,4171104,6651590,70898,66.53,93.8
Cross River,2892988,4175020,20156,143.53,207.85
Delta,5112445,6107543,17698,288.87,401.58
Ebonyi,2176947,4007155,5670,383.94,706.88
Edo,3233366,5527810,17802,181.63,289.89
Ekiti,2398957,3398177,6353,377.61,534.83
Enugu,3267837,5396098,7161,456.33,753.71
FCT,1406239,4802443,7315,192.24,656.93
Gombe,2365040,4623462,20265,116.7,228.77
Imo,3927563,6067722,5530,710.22,1097.7
Jigawa,4361002,6979080,23154,188.35,301.38
Kaduna,6113503,8324285,46053,132.75,180.75
Kano,9401288,16253549,20131,467,807.39
Katsina,5801584,9300382,24192,239.81,384.44
Kebbi,3256541,6001610,36800,88.49,163.1
Kogi,3314043,5053734,29833,111.08,169.04
Kwara,2365353,4259613,36825,64.23,115.88
Lagos,9113605,15772884,3345,2724.55,4715.36
Nasarawa,1869377,3632239,27110,68.96,134.87
Niger,3954772,6720617,76363,51.79,87.99
Ogun,3751140,6445275,16762,223.79,384.52
Ondo,3441024,5103491,14821,232.17,344.34
Osun,3416954,4781640,9251,369.36,516.88
Oyo,5580894,7512855,28454,196.14,264.08
Plateau,3206531,5400974,30913,103.73,174.67
Rivers,5198716,7234973,11077,469.33,653.01
Sokoto,3702676,5863624,25973,142.56,225.76
Taraba,2294800,4331885,54473,42.13,79.53
Yobe,2321339,4350401,45502,51.01,95.57
Zamfara,3278873,5517793,39762,82.46,138.75
